회사명,경력,고용형태,연봉,근무지
엘림정보네트워크,경력(최소 1년 이상),정규직,월급 250만원 ~250만원,근무지 광주광역시 북구 월동로 40
(유)동방이노베이션,경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 전라북도 전주시 덕진구 반룡로 111
(주)아투에프앤디시스템,신입,계약직,월급 240만원 이상,근무지 부산광역시 동래구 명안로10번길 66
(주)이티엠,경력(최소 8년 이상),정규직,"연봉 5,000만원 ~6,000만원",근무지 경기도 성남시 중원구 갈마치로 302
바자울정보기술주식회사,경력(최소 3년 이상),정규직,"연봉 3,000만원 ~3,500만원",근무지 전라남도 순천시 중앙로 328
바자울정보기술주식회사,신입,정규직,"연봉 3,000만원 이상",근무지 전라남도 순천시 중앙로 328
(주)에스제이링크,관계없음,정규직,"연봉 2,800만원 이상",근무지 서울특별시 성동구 성수일로8길 5
주식회사바스코아이씨티,경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 경기도 부천시 부천로198번길 36
(주)천희이엔지,관계없음,정규직,"시급 9,620원 ~9,620원",근무지 전라북도 전주시 덕진구 반룡로 50
넥스트제네레이션(주),관계없음,정규직,월급 290만원 ~350만원,근무지 서울특별시 강동구 상일로12길 95
메타솔루션,경력(최소 3년 이상),정규직,"연봉 5,000만원 ~5,200만원",근무지 경상북도 포항시 남구 대이로127번길 21-1
(주)국제,경력(최소 2년 이상),정규직,월급 250만원 ~320만원,근무지 광주광역시 동구 백서로175번길 8
(주)에스유지,경력(최소 1년 이상),정규직,"연봉 2,420만원 ~5,000만원",근무지 부산광역시 해운대구 센텀6로 21
늘푸른종합물류,경력(최소 1년 이상),계약직,월급 250만원 ~250만원,근무지 부산광역시 동래구 온천천로531번길 80
(주)세종캐터링,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 용인시 처인구 이동읍 덕성산단2로6번길 47-1
(사)서울장애인부모연대 성북지회,관계없음,정규직,월급 231만원 이상,근무지 서울특별시 성북구 월곡로14길 24
가연마을,관계없음,정규직,월급 204만원 이상,근무지 경기도 김포시 월곶면 용강로37번길 76-25
(유)동방이노베이션,관계없음,정규직,"연봉 3,000만원 이상",근무지 전라북도 전주시 덕진구 농생명로 300
크리스베럴 주식회사,신입,정규직,"연봉 3,000만원 이상",근무지 서울특별시 송파구 백제고분로 63
(주)오제플러스,관계없음,정규직,"연봉 2,800만원 이상",근무지 경기도 고양시 덕양구 강매로 124-32
(주)길소프트,경력(최소 5년 이상),정규직,"연봉 5,000만원 ~8,000만원",근무지 경기도 수원시 팔달구 수성로 92
(주)하이테크엔지니어링,경력(최소 3년 이상),정규직,"연봉 3,800만원 이상",근무지 전라남도 여수시 여수산단1로 366
주식회사메가웍스,경력(최소 3년 이상),정규직,"연봉 5,000만원 이상",근무지 광주광역시 동구 서남로 14
주식회사 건인티엔에스,관계없음,정규직,"연봉 8,000만원 이상",근무지 경기도 평택시 신한1길 4
제이티에스(JTS),관계없음,정규직,"연봉 2,800만원 이상",근무지 경기도 용인시 기흥구 기흥로 58-1
미르넷솔루션주식회사,경력(최소 4년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 구로구 디지털로34길 27
(주) 솔라플렉스,신입,정규직,"연봉 3,000만원 ~6,000만원",근무지 경상북도 구미시 1공단로6길 181-19
(주)에이텍오토,관계없음,정규직,"연봉 3,600만원 이상",근무지 경기도 성남시 분당구 판교로 289
(주)에이텍오토,관계없음,정규직,"연봉 3,600만원 이상",근무지 경기도 성남시 분당구 판교로 289
퍼스트산업주식회사,신입,계약직,월급 300만원 ~300만원,근무지 전라남도 장흥군 장평면 농공단지길 54
다빈소프트(주),관계없음,정규직,"연봉 4,300만원 이상",근무지 경상남도 창원시 의창구 창원대로18번길 46
주식회사 위코노미아트,관계없음,정규직,"연봉 5,000만원 이상",근무지 경기도 안양시 동안구 학의로 282
(주)감소프트,경력(최소 5년 이상),정규직,"연봉 5,000만원 ~5,000만원",근무지 경상북도 포항시 북구 침촌지구5길 4-1
(주)현대아이티,관계없음,정규직,"연봉 3,000만원 이상",근무지 경상북도 김천시 아포읍 아포공단길 106
사회복지법인밀알복지재단대전·충청지부,관계없음,계약직,"연봉 3,000만원 이상",근무지 대전광역시 대덕구 동서대로1777번길 1
성결대학교,신입,계약직,"연봉 2,760만원 ~2,760만원",근무지 경기도 안양시 만안구 성결대학로 53
(주) 초위스컴퍼니,경력(최소 2년 이상),정규직,월급 300만원 ~550만원,근무지 경기도 용인시 기흥구 중부대로 184
컨트롤에프 주식회사,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 대전광역시 유성구 테크노2로 160
천안시농업기술센터,관계없음,계약직,"일급 90,720원 이상",근무지 충청남도 천안시 동남구 목천읍 목천안터1길 15
